seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
23.1484,91.1902,0.114856,9.75554,-0.61017,-0.0072982,-0.277601,-0.0203038
23.208,91.2113,-0.0191426,9.6024,0.961915,0.00247563,0.0595964,-0.00442134
23.334,91.1796,0.0167498,10.1001,1.24905,0.0623404,1.20863,0.0511674
23.3945,91.2641,-0.0574278,9.5354,-0.136391,0.0330189,1.25445,0.030398
23.4531,91.1584,-1.02413,8.98983,-0.394816,-0.0610543,-0.295316,-0.112544
23.5127,91.2007,-0.87338,9.47797,1.48116,0.0146929,1.13044,0.0462805
23.5723,91.1902,-0.727418,9.62393,1.38305,-0.00363301,0.212923,0.0352849
23.6299,91.169,0.5336,9.52343,0.179462,-0.0274567,-1.04607,-0.0215255
23.6895,91.2324,0.418744,9.75315,1.0672,0.00430824,-0.00454444,0.0181807
23.9014,91.2113,-0.507278,9.80818,-0.646062,-0.00241128,-1.16824,-0.064897
23.9619,91.2324,-1.08156,10.0164,1.27298,0.0226342,-1.14197,-0.06001
24.0205,91.317,-1.02174,9.70768,-0.332602,-0.00180042,-1.21467,-0.0777251
24.0791,91.243,-0.854238,9.78425,0.897309,-0.00363301,-1.78888,-0.0765034
24.1387,91.2219,0.758525,9.86322,-0.70349,0.0104169,-1.24277,-0.069173
24.1973,91.2853,0.308674,9.57368,0.564706,0.0391275,0.462767,0.021235
24.2568,91.2007,0.504885,9.71486,-0.141177,0.0342406,0.180548,0.00596337
24.4434,91.3698,-0.679562,9.92303,-1.19163,0.00491911,0.275843,-0.0141952
24.5039,91.2958,-1.06959,9.63111,0.51685,-0.0683847,0.141452,0.00229819
24.5625,91.2007,-0.191426,9.85604,-0.665205,-0.00363301,1.48413,0.0456696
24.6221,90.8731,0.952343,9.99482,1.01934,-0.026235,0.135954,-0.01053
24.6816,91.0422,-0.382852,9.7364,0.428315,0.0305754,0.0455464,-0.0190821
24.7412,91.0844,0.291924,9.75793,-0.672383,-0.0164612,-0.878082,-0.0618427
24.8008,90.9788,-0.107677,9.95175,0.5336,0.0269102,0.206204,0.00840685
